Gene.refGene,Z_score
P2RX1,0.114880579
HBM,0.055898475
EN2,0.109131277
TM9SF2,-0.139893522
INHBE,0.090729246
TCTE3,0.114550308
TOX2,-0.105456924
HBB,-0.159064936
MED15,-0.165825696
CASR,0.110769044
MTPN,-0.133279295
UNC50,-0.072543213
C21orf33,-0.170857238
IRF2,-0.207541566
PGR,0.029552253
GPR84,0.015470945
SRPX,-0.167345419
BRE,-0.118576594
FGF10,-0.094521481
SDC3,-0.059067545
SOX6,0.103653141
RPUSD2,-0.105469208
MAPK11,0.02426098
TBC1D22A,-0.094349779
FAM123A,0.141885282
ZNF204P,0.095213075
COL4A6,0.112960377
TOMM70A,-0.062047364
MIR22,0.088959116
NAB1,-0.078720308
C4orf49,0.115813561
TSPAN18,-0.013414098
MED31,-0.01653321
PLG,-0.000431567
CAPSL,0.073077316
ZNF532,-0.024623217
ASB14,0.089106023
CA8,0.040414275
FBLN7,0.006271467
SLFN11,-0.120035214
NOL7,-0.124080081
BRMS1L,0.041144792
PANK2,-0.139389653
ICAM3,-0.090626722
TAF8,-0.065752374
RNF139,-0.038673166
ADAM8,0.03130936
SFTPC,-0.047382259
MAN2B2,-0.106574974
EIF1AY,-0.016609594
RGS12,0.037023227
LRRIQ1,0.169503729
GPR150,0.076666134
PRRG3,0.081531706
RAPGEF5,-0.045612701
SAA4,-0.0443307
ZCCHC2,0.136375856
MGC39372,0.026528392
ACAP2,0.056215922
PPP4R2,-0.121143189
CDCA2,0.178260417
OR4D5,0.005756068
PTGFRN,-0.166251673
SIGLEC5,0.108459151
LRRN4CL,-0.085664275
NMUR2,0.063165016
KIAA1586,0.057360171
DAGLA,0.105682922
NEUROD6,0.084723804
CHCHD6,-0.032573573
GPR32,0.076064381
SLC2A4RG,-0.10576115
CA5B,0.015401711
FBXL3,-0.084733621
MPHOSPH9,0.200423462
HCN4,0.173781267
CEACAM19,0.064736284
SH2D4B,0.171179758
HFE2,-0.038566157
TGM4,0.034123911
LYPD2,-0.025644369
TBC1D15,-0.069816936
ZNF830,0.010468839
MRPS21,-0.180659653
NONO,-0.087867475
CLEC5A,-0.00374989
ITCH,-0.031358438
MGAT3,0.079262623
MBP,-0.101936775
RPP25,0.03962263
SOSTDC1,0.028764047
HRC,-0.02173433
TMEM133,0.103231603
TRIM48,0.072565545
ECEL1P2,0.021018991
HOXC11,-0.019616457
DOK5,0.090186051
HELZ,0.097626568
ADRB3,0.067317023
DMD,0.185820687
PTRH2,-0.164645149
NDUFA12,-0.101220017
KRTAP2-4,0.067703047
ADCY2,0.071451244
STAMBPL1,-0.033191915
KLHL20,-0.07207102
SRM,-0.213360648
OTC,0.056484957
TMIE,0.064735015
SNX8,0.053452168
LOC100128593,0.1098365
CHURC1,-0.22700476
ELMOD3,0.118138259
KLC2,-0.017986216
HDAC1,-0.109251754
FNDC3B,0.003209739
MTCP1,0.125354098
WFDC10B,0.016637533
JAKMIP3,0.087112689
CAV2,-0.154600554
ATRNL1,0.215217924
SUN3,0.131493725
MED26,-0.171100211
DUS1L,-0.181585494
NEK9,-0.017931859
KDM2B,0.114616893
CHRM3,-0.018063736
USP50,0.022600031
WARS2,0.069713949
RIMKLA,0.160635382
TBX22,0.119751862
ASF1A,-0.038781731
TOMM40,0.002878727
IGSF6,-0.050605554
TUBGCP5,-0.02055662
TPPP,0.036041041
RGPD3,0.067859557
BTD,0.070243354
GSTM5,-0.060065004
PDCD1LG2,0.031079554
SNRPB2,-0.083408634
MBOAT7,-0.166824722
MIR196A2,0.052812001
ERICH1,-0.160628747
APOA4,0.046472387
HOXA11,0.045438516
HAUS7,-0.124850369
RAB28,0.104868464
MKX,0.014329893
OR2M3,0.00678902
PKP3,-0.024895179
SH3GL2,0.195415249
CTSO,-0.189362948
RPN2,-0.153059611
SFMBT1,0.013195115
IL28RA,-0.007917895
LOC401109,0.04869902
TTC9B,0.151945387
SORBS3,-0.19608879
ALB,-0.0940656
UPF2,-0.038711267
C4BPA,0.049618476
CD101,0.092149829
JPH1,0.042090176
DOPEY1,0.13861093
AGBL2,0.063361658
TERF1,-0.083558798
KIF22,-0.109190305
NINJ1,-0.158681452
SEC61A2,0.030610266
ZNF703,0.029525012
HIST1H1D,0.010046307
UCP3,0.003591128
SFXN4,-0.184490142
MYL6B,-0.080638359
TREM1,-0.000968035
LOC283922,0.022644455
OR52E6,0.072585886
CKMT2,-0.086947809
SLC13A3,0.049914756
SBDSP1,-0.048320106
N4BP2L1,-0.059025523
TIMP4,-0.072965249
SLIT2,0.109959267
HAUS3,0.109569039
RSF1,-0.033430407
MYLK3,0.099607322
LONRF1,-0.071472387
MON1A,0.035453903
C2orf88,-0.043502853
CACNG6,0.024816831
FLJ42875,0.066015999
LRIT3,0.198518156
DPPA4,0.073383947
ZSWIM3,0.139603556
CCIN,-0.019409864
ZNF804A,0.163408249
MDS2,0.078779982
WDR83,-0.101328035
SLC25A31,0.065767383
KCNMB4,-0.034331343
RABL5,0.035419798
GALNS,0.043162853
